name,surname,age,id,specialitate,year,month,day,nrSurgeries
Popa,Ionel,34,2002001,cardiologie,2019,8,12,30
Badea,Alex,48,2002002,cardiologie,2020,4,12,12
Ionescu,Ionut,56,2002003,cardiologie,2021,3,15,10
Cuza,Mihai,47,2002004,cardiologie,2012,2,10,45
Constantin,Matei,56,2002005,cardiologie,2020,5,11,22
Cuza,Cristian,49,2002006,cardiologie,2011,6,3,54
Mindru,Daniela,48,2002007,cardiologie,2007,6,15,5
Moraru,Daniela,45,2002008,cardiologie,2020,4,16,10
Ionescu,Dan,57,2002009,cardiologie,2019,3,14,23
Condrea,Iolanda,57,2002010,cardiologie,2021,8,24,22
Sanda,Emilia,47,2002011,cardiologie,2007,9,14,20
Badea,Sandra,53,2002012,cardiologie,2018,12,16,22
Pop,Sonia,47,2002013,cardiologie,2021,11,13,12
Popa,Cosmin,47,2002014,cardiologie,2022,1,15,2
